Abarth | Abarth 1500 Biposto Bertone B.A.T 1 '52
Volkswagen | Volkswagen Beetle Gr.3 (Gr.3)
Volkswagen | Volkswagen Golf I GTI '83
Volkswagen | Volkswagen Golf VII GTI '14
Volkswagen | Volkswagen GTI Roadster Vision Gran Turismo
Volkswagen | Volkswagen GTI Supersport Vision Gran Turismo
Volkswagen | Volkswagen GTI Vision Gran Turismo (Gr.3) (Gr.3)
Volkswagen | Volkswagen ID.R '19
Volkswagen | Volkswagen Polo GTI '14
Volkswagen | Volkswagen Sambabus Typ 2 (T1) '62
Volkswagen | Volkswagen Scirocco Gr.4 (Gr.4)
Volkswagen | Volkswagen Scirocco R '10
Volvo | Volvo 240 SE Estate '93
Volvo | Volvo V40 T5 R-Design '13
Wicked Fabrication | Wicked Fabrication GT 51
Xiaomi | Xiaomi SU7 Ultra '25
Yangwang | Yangwang U9 '24
Zagato | IsoRivolta Zagato Vision Gran Turismo
